IBMS Address,Address of Existing Rental Building,RH File Number,City Council Approval Date,Type,Total Rental Homes for Demolition,Affordable Rental Homes for Demolition,Mid-Range Rental Homes for Demolition,High-End Rental Homes for Demolition,Total Rental Homes Replaced,Affordable Rental Homes Replaced,Mid-Range Rental Homes Replaced,High-End Rental Homes Replaced
75 MUTUAL ST   ,"75, 77, 83 MUTUAL ST",14 183555 STE 27 RH,2017-01-31,Demolition - 6 Rental Units or More ,22,,,,22,21,1,
1996 BATHURST ST   ,"1996, 1998 and 2000 Bathurst Street",15 270570 STE 21 RH,2017-03-09,Demolition - 6 Rental Units or More ,62,61,1,0,62,61,1,
125 PARLIAMENT ST   ,125 Parliament Street and 50 Power Street,13 181698 STE 28 RH,2017-05-24,Demolition - 6 Rental Units or More ,15,12,3,0,15,12,3,
480 YONGE ST   ,"3 Grosvenor Street (492-494 Yonge Street), 484-488 Yonge Street, 480-482 Yonge Street",14 267359 STE 27 RH,2017-05-24,Demolition - 6 Rental Units or More ,26,15,6,5,26,15,6,5
30 ERSKINE AVE   ,30 Erskine Avenue,13 116882 NNY 25 RH,2017-07-04,Demolition - 6 Rental Units or More ,6,0,6,0,6,,6,
59 MUTUAL ST   ,"59, 63, 65, 67, 69 and 71 Mutual Street",16 101809 STE 27 RH,2017-07-04,Demolition - 6 Rental Units or More ,12,7,4,1,12,7,4,1
703 SOUDAN AVE   ,"1674 Bayview Avenue, 703 and 707 Soudan Avenue, and 1680, 1682 and 1684 Bayview Avenue",14 227490 STE 22 RH,2017-07-04,Demolition - 6 Rental Units or More ,38,14,21,3,38,14,21,3
40 MOCCASIN TRL   ,"50 and 60 Green Belt Drive, and 40 Moccasin Trail",13 173075 NNY 34 RH,2017-07-04,Demolition - 6 Rental Units or More ,83,59,24,0,67,43,24,
2525 BATHURST ST   ,2525 Bathurst Street,16 152046 NNY 16 RH,2017-10-02,Demolition - 6 Rental Units or More ,33,6,26,1,33,6,26,1
650 KINGSTON RD   ,650-652 Kingston Road and 2 Main Street,15 215445 STE 32 RH,2017-11-07,Demolition - 6 Rental Units or More ,11,7,4,0,11,7,4,
263 ADELAIDE ST W  ,263-267 Adelaide Stret West,12 152672 STE 20 RH,2017-11-07,Demolition - 6 Rental Units or More ,12,3,6,3,12,3,6,3
85 BROADWAY AVE   ,"85, 87, 89 and 91 Broadway Avenue and 198 Redpath Avenue",16 262583 STE 22 RH,2018-01-31,Demolition - 6 Rental Units or More ,9,3,6,0,9,3,6,
289 THE KINGSWAY    ,"291 The Kingsway and 1, 3, 5 and 7 St. Stevens Court",13 164266 WET 04 RH,2018-04-24,Demolition - 6 Rental Units or More ,156,108,48,0,156,108,48,
